all_gene2	five_prime_partners	num_five_prime_partners	three_prime_TCGA_Projects
CDH23	LTBP1:MCU:EMSY:ASCC1	4	BRCA:PRAD:STAD
VSIR	RPS6KB2:SSH2	2	BRCA:SKCM
PSAP	RBM17:PSMA3	2	BLCA:OV
CHST3	CWF19L1	1	BRCA
SPOCK2	SUCO	1	STAD
ASCC1	SPOCK2:NR2C2:TET1	3	CESC:BRCA
ANAPC16	DLG5:TOP3A:HNF1B	3	BRCA:LIHC:KIRC
DNAJB12	ASCC1:SPOCK2:PSAP	3	PCPG:OV:UCEC
MICU1	TACC2:VSIR:ASCC1:CDK8:PPA1:ANAPC16:TCEANC2:ENTPD5:BTRC:MMS19:DIS3L2	11	BRCA:COAD:CESC:STAD:LIHC:READ:ACC:HNSC:UCEC
MCU	CCAR1:RAPGEF1	2	STAD:LUSC
SFMBT2	LINC00662	1	ESCA
OIT3	Z98884.1	1	STAD
P4HA1	ASCC1:MPRIP	2	BRCA:SKCM
ECD	KCNMA1	1	BRCA
FAM149B1	INPP5A	1	BRCA
MRPS16	ECD	1	LIHC
CFAP70	MRPS16:DNAJC9	2	SKCM:BRCA:BLCA:CHOL:ESCA:LGG:MESO:PCPG:PRAD:THCA
AL512656.1	ZSWIM8:ZNF503-AS1	2	PRAD:ESCA
ANXA7	MICU1	1	BRCA
PPP3CB-AS1	SEC24C	1	OV
USP54	MRPS16	1	COAD
MYOZ1	USP54	1	OV
SYNPO2L	P4HA1:SHMT1	2	OV
AC073389.2	NKRF	1	BRCA
SEC24C	VCL	1	HNSC
ZSWIM8	VCL:NDST2	2	OV:BRCA
AC022400.1	VCL:KAT6B	2	BRCA:ESCA:LIHC
CAMK2G	KLF12:SPG11:PFKP:PPP3CB:USP54	5	SARC:BRCA:BLCA:ESCA
AC022400.2	VCL	1	SARC:OV
PLAU	VCL	1	BRCA
C10orf55	CAMK2G	1	LIHC
VCL	LRMDA:ATF6:ELK4:MOB3A	4	LUAD:PRAD:LIHC
AP3M1	USP54	1	STAD
ADK	KAT6B:LRMDA:NOCT:ADD1:TMEM14B:DNAJC19:FAM160B1:USP54:ZNF552:FAM149B1:ZNF106:RFX2:BLCAP:TLK1:SUFU:SLC16A9:ZMIZ1:ETHE1	18	PRAD:OV:LUAD:BLCA:BRCA:HNSC:UCEC:PCPG:SARC:STAD:GBM:LUSC:UCS:ESCA
AC022540.1	ZMIZ1	1	UCEC
KAT6B	SAMD8	1	OV
DUSP13	PCDH15	1	BRCA
SAMD8	VCL:TSPAN15	2	UCEC:BRCA
VDAC2	LRMDA	1	OV
COMTD1	GPATCH8	1	PRAD
ZNF503-AS1	CHSY1:MICU1:LRMDA:ZMIZ1-AS1	4	BRCA:STAD:OV
ZNF503-AS2	USP54	1	BLCA
LRMDA	VCL:ADK:ZMIZ1:HTR7:NUP50:SEC24A:BMPR1A:ANKRD12:GLRX3:KAT6B:SAMD8:HMGA2:SON:CLDN16:LINC01515:ZNF503-AS2:ATAD1:SMG6	18	ESCA:UCEC:STAD:PRAD:BRCA:SARC:OV
ITIH5	USP6NL	1	STAD
AC024603.1	VCL:DLG5	2	BRCA:STAD
KCNMA1	CPM:FAM149B1:AC020915.1:LRRN2:ADK:ATAD1:TAF3	7	BRCA:GBM:STAD
KCNMA1-AS1	DOCK1:NACC2	2	PRAD:OV
DLG5	KCNMA1	1	BRCA
KIN	SFMBT2	1	LUAD
ATP5C1	SNHG3:UBA52:RCC1	3	BRCA:ACC:LAML
POLR3A	CUEDC2:KCNMA1:DLG5:TTC6	4	UCS:OV:PRAD
RPS24	KCNMA1	1	OV
LINC00856	ZCCHC24:IGFBP4:HSPA14:ASPH:NRG3	5	READ:GBM:UCS:PRAD
AC012560.1	ZMIZ1	1	STAD:BRCA
ZMIZ1-AS1	SIRT1:MAL2:MELK	3	BRCA:GBM
ZMIZ1	JMJD1C	1	BRCA
ZCCHC24	SUFU:ZMIZ1	2	LGG:PRAD
TAF3	SVIL:PTPRJ:DLGAP1-AS1:GATA3	4	STAD:OV:BLCA:BRCA
NUTM2B-AS1	CCSER2	1	ESCA
SFTPD	GBF1:TSPAN14:ZMIZ1	3	UCEC:BRCA
TMEM254-AS1	LRRC1	1	BRCA
TMEM254	MXI1	1	COAD
PLAC9	LGALS12:ADAM10	2	BRCA
MAT1A	STK39	1	BRCA
DYDC2	TSPAN14	1	LUAD:STAD
FAM213A	TSPAN14:PKM:GRHL2	3	OV:STAD:BLCA:BRCA
GATA3	EPC1	1	OV
LARP4B	RSU1:DIP2C	2	CHOL:SKCM:OV
NRG3-AS1	SGMS1:SIRT1	2	PRAD:SARC
NRG3	MICU1:PANK1:FRS2:GHITM:LINC00863	5	BLCA:SKCM:BRCA:OV:PRAD
LINC00708	PRPF18	1	UCS
GHITM	CCSER2	1	OV
LRIT1	NT5C2	1	MESO
RGR	CCSER2	1	STAD
CCSER2	TULP3:AL138767.2	2	SARC:ESCA
AC025428.2	MDM2	1	BRCA
GRID1	AC073529.1:SEC31B:PTEN:PTPN4:TRAPPC10:SGMS1:DPM1:CYTH3	8	BRCA:PRAD:LUSC:OV:HNSC:LAML:SKCM
WAPL	GRID1	1	BRCA
BMPR1A	FAM35A	1	BRCA
MMRN2	WAPL:HTR7	2	LIHC
GLUD1	GRID1	1	BLCA
MINPP1	MLLT10:PAPSS2:PTEN:LIPN:RICTOR	5	LIHC:ACC:BLCA:LGG:KIRP
AL138767.2	LIPA	1	PRAD
AL138767.1	USP9Y	1	PRAD
PAPSS2	ATAD1	1	LGG
